"pbc_id","client_pbc_name","reviewed_name","pbc_spec","pbc_kind","pbc_file_format","related_pbc_ids","iuc_or_system","cycle","source","notes","updated_at"
"PBC-EC-119","Windows, Linux作業系統帳號清單","Windows, Linux作業系統帳號清單","須透過指令取得，可參考附件說明檔案",NA,NA,"","Windows, Linux作業系統帳號清單","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-120","防火牆帳號清單","防火牆帳號清單","",NA,NA,"","防火牆帳號清單","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-121","帳號權限申請單據 (含Oracle ERP, EPF系統)","帳號權限申請單據 (含Oracle ERP, EPF系統)","請提供相關帳號權限申請單據 (含Oracle ERP, EPF系統)
1.新進: 帳號權限申請單(須含簽核)
2.調職: 帳號權限申請單(須含簽核)
3.在職: 帳號權限申請單(須含簽核)
4.離職: 相關離職程序單(須含簽核)及其相關系統帳號已刪除或停用之畫面(含AD帳號)",NA,NA,"","帳號權限申請單據 (含Oracle ERP, EPF系統)","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-122","資料庫帳號密碼狀態","資料庫帳號密碼狀態","須透過指令取得，可參考附件說明檔案",NA,NA,"","資料庫帳號密碼狀態","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-123","作業系統帳號密碼狀態","作業系統帳號密碼狀態","須透過指令取得，可參考附件說明檔案",NA,NA,"","作業系統帳號密碼狀態","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-124","EPF系統、Oracle ERP之密碼原則設定畫面","EPF系統、Oracle ERP之密碼原則設定畫面","1.密碼原則，含密碼長度、密碼週期、密碼複雜度、密碼錯誤次數鎖定、密碼歷程
2.設定畫面截圖須含桌面日期及時間
3.可參考附件說明檔案",NA,NA,"","EPF系統、Oracle ERP之密碼原則設定畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-125","資料庫（含MSSQL, MySQL）之密碼原則設定畫面","資料庫（含MSSQL, MySQL）之密碼原則設定畫面","",NA,NA,"","資料庫（含MSSQL, MySQL）之密碼原則設定畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-126","作業系統（含Windows, AD Server, Linux）之密碼原則設定畫面","作業系統（含Windows, AD Server, Linux）之密碼原則設定畫面","",NA,NA,"","作業系統（含Windows, AD Server, Linux）之密碼原則設定畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-127","綁定MFA之設定畫面","綁定MFA之設定畫面","設定畫面截圖須含桌面日期及時間",NA,NA,"","綁定MFA之設定畫面","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-128","系統帳號權限定期清查紀錄","系統帳號權限定期清查紀錄","須含主管覆核，應包含如下:
1.Oracle ERP
2.EPF系統(含所有子系統)
3.資料庫(含MSSQL, MYSQL)
4.作業系統(含AD Server)
5.Github
6.防火牆",NA,NA,"","系統帳號權限定期清查紀錄","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-129","WindowsAD使用者帳號狀態","WindowsAD使用者帳號狀態","須透過指令取得，可參考附件說明檔案",NA,NA,"","WindowsAD使用者帳號狀態","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-130","WindowsAD網域管理員清單","WindowsAD網域管理員清單","可參考附件說明檔案",NA,NA,"","WindowsAD網域管理員清單","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-131","WindowsAD網域OU群組權限設置","WindowsAD網域OU群組權限設置","可參考附件說明檔案",NA,NA,"","WindowsAD網域OU群組權限設置","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
"PBC-EC-132","WIndowsAD信任網域","WIndowsAD信任網域","可參考附件說明檔案",NA,NA,"","WIndowsAD信任網域","電腦化資訊系統循環","it_cycle_pbc_seed",NA,"2026-08-27 08:45:36"
